事件分组,事件名称,事件中文名,属性名称,属性中文名,属性数据类型,判定位置,ext命中样本数,personal命中样本数,事件样本数,ext样例值,personal样例值
Army,ArmyUpgrade,兵种升级,ed_oldArmyLevel,升级前兵种等级,字符串,personal,0,30,30,,2 | 7 | 5
Army,ArmyUpgrade,兵种升级,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Building,BuildingIdleUpgrade,内城建筑升级,ed_buildingId,建筑id,字符串,样本未发现,0,0,0,,
Building,BuildingIdleUpgrade,内城建筑升级,ed_idleBuildingLevel,升级后建筑科技等级,字符串,样本未发现,0,0,0,,
Building,BuildingIdleUpgrade,内城建筑升级,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Building,BuildingIdleUpgrade,内城建筑升级,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
Building,BuildingUpgrade,建筑创建/升级,ed_buildingId,建筑group id,字符串,personal,0,30,30,,1053682766043971593 | 1047132989774004227 | 1022972673452572752
Building,BuildingUpgrade,建筑创建/升级,ed_isInstant,是否立即完成,字符串,personal,0,30,30,,True | True | True
Building,BuildingUpgrade,建筑创建/升级,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,13 | 20 | 10
Building,BuildingUpgrade,建筑创建/升级,ed_metaId,建筑配表id,字符串,personal,0,30,30,,100022010 | 100320017 | 100070007
Building,BuildingUpgrade,建筑创建/升级,ed_newLevel,升级后建筑等级,字符串,personal,0,30,30,,10 | 17 | 7
Building,BuildingUpgrade,建筑创建/升级,ed_oldLevel,升级前建筑等级,字符串,personal,0,30,30,,9 | 16 | 6
Building,BuildingUpgrade,建筑创建/升级,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Building,BuildingUpgrade,建筑创建/升级,ed_uuid,建筑uuid,字符串,样本未发现,0,0,30,,
Hero,EquipmentLevelUp,装备升级,ed_equipId,装备唯一id,字符串,personal,0,30,30,,997846341676318721 | 1006380338614255620 | 1006380338614255620
Hero,EquipmentLevelUp,装备升级,ed_equipItemId,装备itemId,字符串,personal,0,30,30,,14002 | 14003 | 14003
Hero,EquipmentLevelUp,装备升级,ed_equipNewLevel,装备升级后等级,字符串,personal,0,30,30,,10 | 19 | 17
Hero,EquipmentLevelUp,装备升级,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,13 | 13 | 13
Hero,EquipmentLevelUp,装备升级,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,1 | 1 | 1
Hero,EquipmentLevelUp,装备升级,ed_equipSpecialStar,装备精炼等级,字符串,样本未发现,0,0,30,,
Resource,SpeedupUse,使用道具加速,ed_diamond,钻石使用数量,字符串,personal,0,30,30,,0 | 0 | 0
Resource,SpeedupUse,使用道具加速,ed_itemCount,加速物品数量,字符串,样本未发现,0,0,30,,
Resource,SpeedupUse,使用道具加速,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,23 | 23 | 23
Resource,SpeedupUse,使用道具加速,ed_remainTime,当前剩余时间（秒）,字符串,personal,0,30,30,,81818 | 89076 | 98183
Resource,SpeedupUse,使用道具加速,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Resource,SpeedupUse,使用道具加速,ed_speedItem,物品id/加速道具类型/加速物品数量,字符串,personal,0,30,30,,"[{""itemId"": 1061679883748409344, ""num"": 16, ""type"": ""speedItemNormal""}, {""itemId"": 1061679772079259648, ""num"": 3, ""type"" | [{""itemId"": 1061678852956258305, ""num"": 2, ""type"": ""speedItemNormal""}] | [{""itemId"": 1061521158937018369, ""num"": 12, ""type"": ""speedItemBuild""}, {""itemId"": 1061678526538743808, ""num"": 8, ""type"":"
Resource,SpeedupUse,使用道具加速,ed_targetCount,加速目标数量,字符串,personal,0,30,30,,1 | 1 | 1
Resource,SpeedupUse,使用道具加速,ed_targetId,加速目标id,字符串,personal,0,30,30,,"[{""num"": 1, ""id"": 100000023}] | [{""num"": 1, ""id"": 100000023}] | [{""num"": 1, ""id"": 100000023}]"
Resource,SpeedupUse,使用道具加速,ed_targetLevel,目标等级，升级后的等级,字符串,personal,0,30,30,,23 | 23 | 23
Resource,SpeedupUse,使用道具加速,ed_targetType,加速目标类型,字符串,personal,0,30,30,,build | build | build
Resource,SpeedupUse,使用道具加速,ed_totalTime,总CD时间（秒）,字符串,personal,0,30,30,,288870 | 296070 | 305070
Resource,SpeedupUse,使用道具加速,speedTime,使用加速时间（秒）,字符串,personal,0,30,30,,68400 | 7200 | 9000
Resource,PreciousChange,贵重物品变更,ed_addValue,变动数量（正是增加，负是消耗）,字符串,personal,0,30,30,,50 | 30 | 30
Resource,PreciousChange,贵重物品变更,ed_detailReason,作用对象配置ID,字符串,样本未发现,0,0,30,,
Resource,PreciousChange,贵重物品变更,ed_isAdd,是否增加,字符串,personal,0,30,30,,True | True | True
Resource,PreciousChange,贵重物品变更,ed_itemId,变更的贵重物品id,字符串,personal,0,30,30,,920008 | 816106 | 816106
Resource,PreciousChange,贵重物品变更,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 9 | 9
Resource,PreciousChange,贵重物品变更,ed_regularNewValue,剩余数量,字符串,personal,0,30,30,,1080 | 139 | 49
Resource,PreciousChange,贵重物品变更,ed_route,变化途径（变化原因）,字符串,personal,0,30,30,,draw_card | draw_card | draw_card
Resource,PreciousChange,贵重物品变更,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Resource,PreciousChange,贵重物品变更,ed_targetType,作用对象类型（加速的建筑组，造兵的兵种类型）,字符串,personal,0,30,30,,{920008=50} | {816106=30} | {816106=30}
Resource,ResourceChange,资源变动,ed_change,资源变化量,字符串,personal,0,30,30,,"{""HERO_EXP"": 10000} | {""MECH_LEVEL_UP"": 4170, ""STEEL"": 96000, ""PETROLEUM"": 136000, ""HERO_EXP"": 81000} | {""MECH_LEVEL_UP"": 7140, ""STEEL"": 192000, ""PETROLEUM"": 204000, ""HERO_EXP"": 138000}"
Resource,ResourceChange,资源变动,ed_detailReason,详细原因,字符串,personal,0,30,30,,100501 |  | 
Resource,ResourceChange,资源变动,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 9 | 9
Resource,ResourceChange,资源变动,ed_route,变化途径（变化原因）,字符串,personal,0,30,30,,useItem | opt_reward_box | opt_reward_box
Resource,ResourceChange,资源变动,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Resource,ResourceChange,资源变动,ed_stock,资源存量（变化后）,字符串,personal,0,30,30,,"{""HERO_EXP"": 18743046} | {""MECH_LEVEL_UP"": 44770, ""STEEL"": 15539124, ""PETROLEUM"": 13982091, ""HERO_EXP"": 18733046} | {""MECH_LEVEL_UP"": 40600, ""STEEL"": 15443124, ""PETROLEUM"": 13846091, ""HERO_EXP"": 18652046}"
Resource,ResourceChange,资源变动,ed_targetType,目标类型,字符串,样本未发现,0,0,30,,
User,DialogueStart,弹出对话,dialogID,对话ID,字符串,personal,0,30,30,,980041 | 980013 | 980011
User,DialogueStart,弹出对话,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 9 | 9
User,DialogueStart,弹出对话,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Activity,SwitchSceneEnd,切场景结束,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 9 | 9
Activity,SwitchSceneEnd,切场景结束,SceneNowAfterSwitch,切换后当前场景名称,字符串,personal,0,30,30,,worldmapscene | worldmapscene | worldmapscene
Activity,ActivityChestCount,连续充值开箱子,activityId,活动ID,字符串,样本未发现,0,0,0,,
Alliance,AllianceAirshipAppointCaptain,联盟飞艇-委任艇长行为,allianceId,被委任艇长的玩家所在联盟ID,字符串,personal,0,18,18,,5046496226 | 9341463563 | 9341463563
Alliance,AllianceAirshipAppointCaptain,联盟飞艇-委任艇长行为,captainId,被委任艇长的玩家UID,字符串,personal,0,18,18,,623492458414081 | 53189587107842 | 155512889540610
Alliance,AllianceAirshipAppointCaptain,联盟飞艇-委任艇长行为,captainPower,被委任艇长的玩家总战力,字符串,personal,0,18,18,,21090119 | 22160235 | 23260687
Alliance,AllianceAirshipFreeCreate,联盟飞艇-免费的飞艇创建,allianceId,创建飞艇的联盟Id,字符串,personal,0,30,30,,9341463583 | 9341463579 | 9341463569
Alliance,AllianceAirshipFreeCreate,联盟飞艇-免费的飞艇创建,allianceMemberCount,创建飞艇的联盟成员数量,字符串,personal,0,30,30,,44 | 100 | 38
Alliance,AllianceAirshipFreeCreate,联盟飞艇-免费的飞艇创建,alliancePowerRank,创建飞艇的联盟战力排行榜位次,字符串,personal,0,30,30,,17 | 11 | 14
Alliance,AllianceAirshipRefreshCargo,联盟飞艇-艇长刷新飞艇货舱行为,allianceId,被委任艇长的玩家所在联盟ID,字符串,personal,0,8,8,,9341463563 | 9341463563 | 9341463563
Alliance,AllianceAirshipRefreshCargo,联盟飞艇-艇长刷新飞艇货舱行为,captainPower,被委任艇长的玩家总战力,字符串,personal,0,8,8,,25133844 | 25133844 | 13360762
Alliance,AllianceAirshipRefreshCargo,联盟飞艇-艇长刷新飞艇货舱行为,cargoHoldInfo,刷新货舱id和刷新后货舱的品质,字符串,personal,0,8,8,,"[{""cargoHoldId"": 1, ""quality"": 4}, {""cargoHoldId"": 2, ""quality"": 5}, {""cargoHoldId"": 3, ""quality"": 3}, {""cargoHoldId"": 4 | [{""cargoHoldId"": 1, ""quality"": 1}, {""cargoHoldId"": 2, ""quality"": 2}, {""cargoHoldId"": 3, ""quality"": 4}, {""cargoHoldId"": 4 | [{""cargoHoldId"": 1, ""quality"": 5}, {""cargoHoldId"": 2, ""quality"": 5}, {""cargoHoldId"": 3, ""quality"": 5}, {""cargoHoldId"": 4"
Alliance,AllianceAirshipRobbed,联盟飞艇-掠夺行为,allianceId,被委任艇长的玩家所在联盟ID,字符串,personal,0,1,1,,9341463600
Alliance,AllianceAirshipRobbed,联盟飞艇-掠夺行为,battleResult,1-抢劫成功，2-抢劫失败,字符串,personal,0,1,1,,2
Alliance,AllianceAirshipRobbed,联盟飞艇-掠夺行为,captainId,艇长的玩家UID,字符串,personal,0,1,1,,851778675736578
Alliance,AllianceAirshipRobbed,联盟飞艇-掠夺行为,captainPower,被委任艇长的玩家总战力,字符串,personal,0,1,1,,5378859
Alliance,AllianceAirshipRobbed,联盟飞艇-掠夺行为,getReward,抢夺到的奖励id,字符串,personal,0,1,1,,[]
Alliance,AllianceAirshipRobbed,联盟飞艇-掠夺行为,isGolden,0-普通飞艇，1-黄金飞艇,字符串,personal,0,1,1,,0
Alliance,AllianceAirshipRobbed,联盟飞艇-掠夺行为,robberAllianceId,抢劫玩家所在联盟ID,字符串,personal,0,1,1,,9341463561
Alliance,AllianceAirshipRobbed,联盟飞艇-掠夺行为,robberPower,抢劫飞艇的玩家战力,字符串,personal,0,1,1,,6799926
Alliance,AllianceAirshipStart,联盟飞艇-飞艇出发,allianceId,飞艇归属的联盟Id,字符串,personal,0,18,18,,5046496226 | 9341463563 | 9341463563
Alliance,AllianceAirshipStart,联盟飞艇-飞艇出发,captainId,艇长的玩家UID,字符串,personal,0,18,18,,623492458414081 | 53189587107842 | 155512889540610
Alliance,AllianceAirshipStart,联盟飞艇-飞艇出发,cargoHoldInfo,货舱id对应的品质和乘客数量,字符串,personal,0,18,18,,"[{""num"": 1, ""cargoHoldInfo"": 1, ""quality"": 2}, {""num"": 0, ""cargoHoldInfo"": 2, ""quality"": 3}, {""num"": 0, ""cargoHoldInfo"": | [{""num"": 3, ""cargoHoldInfo"": 1, ""quality"": 1}, {""num"": 2, ""cargoHoldInfo"": 2, ""quality"": 2}, {""num"": 1, ""cargoHoldInfo"": | [{""num"": 5, ""cargoHoldInfo"": 1, ""quality"": 5}, {""num"": 0, ""cargoHoldInfo"": 2, ""quality"": 2}, {""num"": 0, ""cargoHoldInfo"":"
Alliance,AllianceAirshipStart,联盟飞艇-飞艇出发,isGolden,0-普通飞艇，1-黄金飞艇,字符串,personal,0,18,18,,0 | 0 | 0
Alliance,AllianceAirshipStart,联盟飞艇-飞艇出发,passengersNum,艇长上总的乘客数量,字符串,personal,0,18,18,,1 | 6 | 7
Alliance,AllianceDuelAlliancePoint,联盟对决联盟积分变化,activityId,活动ID,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelAlliancePoint,联盟对决联盟积分变化,pointChange,积分变化,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelAlliancePoint,联盟对决联盟积分变化,pointTotal,总积分,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelAlliancePoint,联盟对决联盟积分变化,pointType,积分类型,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelBoxOpen,联盟对决个人宝箱发放,activityId,活动ID,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelBoxOpen,联盟对决个人宝箱发放,rewardId,积分宝箱领取,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelBoxOpen,联盟对决个人宝箱发放,rewardIdMail,积分宝箱发放,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelPersonalPoint,联盟对决个人积分变化,activityId,活动ID,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelPersonalPoint,联盟对决个人积分变化,pointChange,积分变化,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelPersonalPoint,联盟对决个人积分变化,pointTotal,总积分,字符串,样本未发现,0,0,0,,
Alliance,AllianceDuelPersonalPoint,联盟对决个人积分变化,pointType,积分类型,字符串,样本未发现,0,0,0,,
Legion,LegionSiegeEnd,军团围攻-结算,allianceId,军团据点结算的联盟ID,字符串,样本未发现,0,0,0,,
Legion,LegionSiegeEnd,军团围攻-结算,alliancePower,联盟总战力,字符串,样本未发现,0,0,0,,
Legion,LegionSiegeEnd,军团围攻-结算,level,联盟选择开启的军团据点难度等级,字符串,样本未发现,0,0,0,,
Legion,LegionSiegeEnd,军团围攻-结算,totalActivityMember,联盟参与本次活动的玩家总数量,字符串,样本未发现,0,0,0,,
Legion,LegionSiegeEnd,军团围攻-结算,totalWave,联盟成功抵御总波数,字符串,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,allianceId,失败玩家的联盟ID,字符串,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,defender1,玩家驻防部队1战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,defender2,玩家驻防部队2战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,defender3,玩家驻防部队3战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,defender4,玩家驻防部队4战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,level,当前联盟选择的据点难度等级,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,playerPower,玩家个人总战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,reason,失败原因,字符串,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,reinforcement1,联盟增援部队1战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,reinforcement2,联盟增援部队2战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,reinforcement3,联盟增援部队3战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,reinforcement4,联盟增援部队4战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,result,防御最后的结果,字符串,样本未发现,0,0,0,,
Legion,LegionSiegePlayerResult,军团围攻-联盟玩家防御结果,wave,玩家在失败前抵御了多少波,数字,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,allianceid,联盟id,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,ed_marchId,本次出征/集结的唯一id，与世界玩法相关联的行为（如战损/出征结果等）内的uuid一致,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,ed_marchType,出征类型,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,ed_targetMetaId,目标id,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,ed_targetType,目标类型,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,realWaitTime,等待时长（毫秒）,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,targetPosition,目标点坐标,字符串,样本未发现,0,0,0,,
World,RALLY_GO,集结出发,totalMemberCount,集结组队人数,字符串,样本未发现,0,0,0,,
Legion,LegionSiegeStart,军团围攻-召唤军团据点,activityMemberCount,联盟可参与活动玩家总数,数字,样本未发现,0,0,0,,
Legion,LegionSiegeStart,军团围攻-召唤军团据点,allianceCurrentNum,联盟当前玩家总人数,数字,样本未发现,0,0,0,,
Legion,LegionSiegeStart,军团围攻-召唤军团据点,alliancePower,联盟总战力,数字,样本未发现,0,0,0,,
Legion,LegionSiegeStart,军团围攻-召唤军团据点,level,联盟选择开启的军团据点难度等级,数字,样本未发现,0,0,0,,
Legion,LegionSiegeStart,军团围攻-召唤军团据点,allianceId,召唤军团据点的联盟ID,字符串,样本未发现,0,0,0,,
Login,Logout,登出游戏(服务端）,ed_season,赛季,数字,personal,0,30,30,,0 | 0 | 0
Login,Logout,登出游戏(服务端）,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,9 | 23 | 7
Login,Logout,登出游戏(服务端）,ed_playSeconds,在线时长,数字,personal,0,30,30,,555 | 901 | 345
Login,GameServerLoginRet,登录游戏服返回,ed_season,赛季,数字,personal,0,30,30,,0 | 0 | 0
Login,GameServerLoginRet,登录游戏服返回,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,9 | 9 | 7
Login,GameServerLoginRet,登录游戏服返回,ed_isSuccess,返回结果,字符串,personal,0,30,30,,True | True | True
Login,Login,登录游戏(服务端）,ed_season,赛季,数字,personal,0,30,30,,0 | 0 | 0
Login,Login,登录游戏(服务端）,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,9 | 9 | 7
Sys,CCU,CCU,ed_timestamp,计算时间,数字,personal,0,30,30,,1763596710000 | 1763596707007 | 1763596682007
Sys,CCU,CCU,ed_season,赛季,数字,personal,0,30,30,,0 | 0 | 0
Sys,CCU,CCU,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,1 | 1 | 1
Sys,CCU,CCU,ed_ccu,当前在线人数,数字,personal,0,30,30,,2 | 0 | 0
User,Register,注册游戏,ed_existAmount,当前角色数量,字符串,personal,0,30,30,,1 | 1 | 1
User,Register,注册游戏,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,1 | 1 | 1
User,Register,注册游戏,ed_season,赛季,字符串,personal,0,30,30,,0 | 0 | 0
Activity,BingoBoxClaim,宾果任务领奖,BoxClaimCount,领奖次数,数字,样本未发现,0,0,0,,
World,WorldMarch,世界出征,ed_estimatedSeconds,预计耗时（秒）,数字,personal,0,30,30,,1763596760989 | 1763596756641 | 1763596729934
World,WorldMarch,世界出征,ed_nowPosition,当前坐标点,字符串,personal,0,30,30,,"24.41,124.95 | 25.0,126.0 | 25.96,125.28"
World,WorldMarch,世界出征,ed_targetMetaId,目标配置id,字符串,personal,0,30,30,,11212 | 11113 | 11212
World,WorldMarch,世界出征,ed_myTeamArmy,出征士兵,字符串,personal,0,30,30,,"[{""soldierId"": 401001, ""count"": 457}] | [{""soldierId"": 401002, ""count"": 367}, {""soldierId"": 401003, ""count"": 203}, {""soldierId"": 401001, ""count"": 182}] | [{""soldierId"": 401001, ""count"": 635}]"
World,WorldMarch,世界出征,ed_myTeamBattlePower,出征部队总战力,字符串,personal,0,30,30,,393658 | 557598 | 398108
World,WorldMarch,世界出征,ed_myTeamHeroList,ed出征英雄,字符串,personal,0,30,30,,"[{""heroStarLevel"": 3, ""heroPower"": 63693, ""skillList"": [{""starSkill"": 13031, ""battleSkillLevel"": 1}, {""starSkill"": 13032 | [{""heroStarLevel"": 2, ""heroPower"": 74434, ""skillList"": [{""starSkill"": 14091, ""battleSkillLevel"": 1}, {""starSkill"": 14092 | [{""heroStarLevel"": 3, ""heroPower"": 63693, ""skillList"": [{""starSkill"": 13031, ""battleSkillLevel"": 1}, {""starSkill"": 13032"
World,WorldMarch,世界出征,ed_allianceId,联盟id,字符串,personal,0,30,30,,9341463610 | 9341463610 | 9341463610
World,WorldMarch,世界出征,ed_buffList,玩家所带BUFF,字符串,personal,0,30,30,,"[{""buffId"": 9041003, ""num"": 200}, {""buffId"": 9040202, ""num"": 43}, {""buffId"": 9041103, ""num"": 100}, {""buffId"": 9040302, "" | [{""buffId"": 9041003, ""num"": 200}, {""buffId"": 9040202, ""num"": 43}, {""buffId"": 9041103, ""num"": 100}, {""buffId"": 9040302, "" | [{""buffId"": 9041003, ""num"": 200}, {""buffId"": 9040202, ""num"": 43}, {""buffId"": 9041103, ""num"": 100}, {""buffId"": 9040302, """
World,WorldMarch,世界出征,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,9 | 9 | 9
World,WorldMarch,世界出征,ed_marchId,本次出征/集结的唯一id，与世界玩法相关联的行为（如战损/出征结果等）内的uuid一致,字符串,personal,0,30,30,,1058510067155894272 | 1059219973710315520 | 1058510067155894272
World,WorldMarch,世界出征,ed_marchType,出征类型,字符串,personal,0,30,30,,ATTACK_NPC | ATTACK_NPC | ATTACK_NPC
World,WorldMarch,世界出征,ed_targetId,目标id,字符串,personal,0,30,30,,1061688033180418048 | 1061687981640810496 | 1061687732532707328
World,WorldMarch,世界出征,ed_targetPosition,目标坐标点,字符串,personal,0,30,30,,"21.0,121.0 | 20.0,120.0 | 22.0,120.0"
World,WorldMarch,世界出征,ed_targetType,目标类型,字符串,personal,0,30,30,,NPC | NPC | NPC
Timeline,TimelineResume,Timeline暂停重新开始,pause_time,停止时间,数字,personal,0,30,30,,12 | 3 | 2
Timeline,TimelineResume,Timeline暂停重新开始,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,1 | 1 | 2
Timeline,TimelineResume,Timeline暂停重新开始,timeline_name,TimeLine资源名字,字符串,personal,0,30,30,,Zombie_SangShiXiuCheKaiChe | Zombie_DaChuJingXia | Zombie_BossShiXiao
Battle,SaveHeroBomb,查炸弹后的打点,isInTime,是否再倒计时之内,字符串,personal,0,30,30,,True | True | True
Battle,SaveHeroBomb,查炸弹后的打点,saveHeroId,拆炸弹事件ID,字符串,personal,0,30,30,,6 | 5 | 4
Battle,SaveHeroBomb,查炸弹后的打点,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,5 | 5 | 5
Pay,ServerPayLog,后端充值,orderId,订单ID,字符串,personal,0,24,24,,GPA.3393-0759-0525-83437 | GPA.3358-6895-9686-97349 | GPA.3302-3037-9814-48568
Pay,ServerPayLog,后端充值,level,当前大本等级,数字,personal,0,24,24,,21 | 18 | 17
Pay,ServerPayLog,后端充值,money,金额,数字,personal,0,24,24,,4.99 | 4.99 | 3.99
Pay,ServerPayLog,后端充值,season,赛季,字符串,样本未发现,0,0,24,,
Pay,ServerPayLog,后端充值,payChannel,支付渠道,字符串,personal,0,24,24,,gp | gp | gp
Pay,ServerPayLog,后端充值,productid,礼包ID,字符串,personal,0,24,24,,90217 | 83014 | 83013
Pay,ServerPayLog,后端充值,ret,返回结果,字符串,样本未发现,0,0,24,,
Pay,ServerPayLog,后端充值,TempID,TempID,字符串,样本未发现,0,0,24,,
Activity,ActivityCommanderTask,行为完成积分变化（最强指挥官）,pointTotal,总积分,数字,样本未发现,0,0,0,,
Activity,ActivityCommanderTask,行为完成积分变化（最强指挥官）,pointType,积分类型,数字,样本未发现,0,0,0,,
Activity,ActivityCommanderTask,行为完成积分变化（最强指挥官）,pointChange,积分变化,数字,样本未发现,0,0,0,,
Activity,ActivityCommanderTask,行为完成积分变化（最强指挥官）,activityId,活动ID,数字,样本未发现,0,0,0,,
Resource,GoldChange,钻石变化,ed_type,变化类型,数字,personal,0,30,30,,5 | 5 | 5
Resource,GoldChange,钻石变化,ed_remainPaid,付费金币剩余,数字,personal,0,30,30,,0 | 0 | 0
Resource,GoldChange,钻石变化,ed_remainFree,免费金币剩余,数字,personal,0,30,30,,5180 | 5160 | 5140
Resource,GoldChange,钻石变化,ed_changeFree,免费金币变化,数字,personal,0,30,30,,20 | 20 | 20
Resource,GoldChange,钻石变化,ed_changePaid,付费金币变化,数字,personal,0,30,30,,0 | 0 | 0
Resource,GoldChange,钻石变化,ed_goldType,币种类型,字符串,personal,0,30,30,,DIAMOND | DIAMOND | DIAMOND
Resource,GoldChange,钻石变化,ed_route,消耗/获取途径,字符串,personal,0,30,30,,activity_reward | activity_reward | activity_reward
Resource,GoldChange,钻石变化,ed_detailReason,详细原因,字符串,personal,0,30,30,,21003 | 21003 | 21003
Resource,GoldChange,钻石变化,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,9 | 9 | 9
Activity,BuyCustomWeeklyPass,自选周卡,DayX,玩家在活动开启后第几天购买,数字,样本未发现,0,0,0,,
Activity,BuyCustomWeeklyPass,自选周卡,customRewardId,定制奖励,数字,样本未发现,0,0,0,,
Activity,BuyCustomWeeklyPass,自选周卡,rechargeOpenId,活动编号,数字,样本未发现,0,0,0,,
Activity,merchandisePointsChange,累充积分变化,pointCount,变化后当前的积分总值,数字,personal,0,17,17,,80 | 30 | 10
Activity,merchandisePointsChange,累充积分变化,activityId,活动编号,数字,personal,0,17,17,,1010001 | 1010001 | 1010001
Login,ConnectGameServerBackFail,连接socket失败,method,方法,字符串,样本未发现,0,0,0,,
Activity,tse,测试,ed_allianceId,联盟id,字符串,样本未发现,0,0,0,,
Battle,MobstageStart,mob关卡开始,mobStageStartType,mob关卡进入状态,字符串,样本未发现,0,0,0,,
Battle,MobstageStart,mob关卡开始,mobStageId,mob关卡id,字符串,样本未发现,0,0,0,,
Battle,MobstageStart,mob关卡开始,ed_mainBuildingLevel,大本等级,数字,样本未发现,0,0,0,,
Pay,PayPopup,支付礼包曝光,ed_productIds,礼包id列表,字符串,personal,0,25,30,,"[""80041""] | [""90217""] | [""90217""]"
Pay,PayPopup,支付礼包曝光,ed_popupSourceButton,来源面板Button,字符串,personal,0,30,30,,recruit_btn | RefreshGiftState | RefreshGiftState
Pay,PayPopup,支付礼包曝光,ed_popupSourceId,来源面板ID,字符串,personal,0,30,30,,12 | radar_main_panel1763596750870 | radar_main_panel1763596488622
Pay,PayPopup,支付礼包曝光,ed_popupSourceName,来源面板名称,字符串,personal,0,30,30,,hero_list_panel | radar_main_panel | radar_main_panel
Pay,PayPopup,支付礼包曝光,ed_popupFirstId,首次展示含有礼包的面板生成的唯一ID,字符串,personal,0,30,30,,recruit_panel1763596797469 | radar_main_panel1763596750870 | radar_main_panel1763596488622
Pay,PayPopup,支付礼包曝光,ed_popupFirstName,首次展示含有礼包的面板对应名称,字符串,personal,0,30,30,,QuickRecharge_10017 | radar_main_panel | radar_main_panel
Pay,PayPopup,支付礼包曝光,ed_popupId,面板唯一ID,字符串,personal,0,30,30,,recruit_panel1763596797469 | radar_main_panel1763596750870 | radar_main_panel1763596488622
Pay,PayPopup,支付礼包曝光,ed_popupName,面板名称,字符串,personal,0,30,30,,QuickRecharge_10017 | radar_main_panel | radar_main_panel
